title,genre,release_year,rating,votes,duration_min,box_office_million,oscar_winner
Movie_1,Comedy,2020,6.6,75449,97,131.3,False
Movie_2,Romance,2013,5.5,86574,94,138.2,False
Movie_3,Drama,2022,9.7,151296,152,239.4,True
Movie_4,Drama,2020,7.9,113403,107,198.2,False
Movie_5,Action,2012,3.8,54002,135,54.7,False
Movie_6,Action,2010,6.4,106555,103,122.6,False
Movie_7,Action,2015,5.4,97664,125,106.4,False
Movie_8,Horror,2011,6.8,75469,102,143.9,False
Movie_9,Drama,2017,6.1,84262,114,141.5,False
Movie_10,Drama,2019,7.0,103608,106,182.0,False
Movie_11,Action,2014,6.8,111706,116,132.9,False
Movie_12,Romance,2016,7.3,94046,98,116.8,False
Movie_13,Horror,2019,4.4,64215,131,165.5,False
Movie_14,Action,2021,5.8,87599,119,99.6,False
Movie_15,Action,2011,5.6,69910,127,151.1,False
Movie_16,Action,2022,5.4,66433,146,122.2,False
Movie_17,Comedy,2017,8.6,130974,86,205.7,True
Movie_18,Drama,2011,7.6,111393,115,174.2,False
Movie_19,Comedy,2013,5.0,85009,95,105.5,False
Movie_20,Comedy,2010,7.6,92934,98,184.5,False
Movie_21,Drama,2014,9.6,136986,112,206.2,False
Movie_22,Action,2018,7.4,106415,109,204.3,False
Movie_23,Comedy,2010,4.7,86777,102,128.4,False
Movie_24,Comedy,2018,5.9,69691,84,149.9,False
Movie_25,Drama,2020,8.6,133693,129,183.5,False
Movie_26,Horror,2017,5.0,80055,104,108.9,False
Movie_27,Action,2015,6.7,133427,112,125.0,False
Movie_28,Drama,2016,8.0,99858,108,169.4,False
Movie_29,Drama,2012,6.0,76855,119,104.3,True
Movie_30,Action,2023,6.1,72752,108,175.9,False
Movie_31,Drama,2010,3.2,14604,142,68.4,False
Movie_32,Action,2014,5.0,110293,125,127.2,False
Movie_33,Action,2023,5.9,63669,125,124.0,False
Movie_34,Romance,2021,4.8,55673,115,113.1,False
Movie_35,Romance,2021,8.3,150815,96,270.1,False
Movie_36,Horror,2011,4.1,26437,111,78.3,False
Movie_37,Comedy,2023,6.0,105127,101,121.5,False
Movie_38,Action,2014,6.4,67739,134,157.4,False
Movie_39,Drama,2017,8.8,156933,112,131.6,False
Movie_40,Comedy,2020,4.8,28602,119,103.6,False
Movie_41,Action,2018,7.6,78930,126,156.6,False
Movie_42,Drama,2011,7.1,95601,147,131.4,False
Movie_43,Action,2021,5.0,94436,114,134.1,False
Movie_44,Romance,2012,6.9,102880,108,160.2,True
Movie_45,Comedy,2012,6.7,93785,84,98.7,False
Movie_46,Drama,2010,6.4,122920,107,133.2,False
Movie_47,Comedy,2017,6.6,142104,109,73.8,False
Movie_48,Drama,2015,6.6,112445,131,163.3,True
Movie_49,Drama,2021,7.2,95542,159,171.6,False
Movie_50,Action,2022,7.0,96637,118,135.5,False
Movie_51,Romance,2017,8.2,97231,91,199.6,False
Movie_52,Horror,2020,4.3,66516,106,60.8,False
Movie_53,Romance,2018,8.9,100908,88,169.2,False
Movie_54,Horror,2014,3.5,63537,103,95.2,False
Movie_55,Drama,2023,6.9,143611,107,146.1,False
Movie_56,Romance,2021,7.0,119351,108,162.0,False
Movie_57,Action,2023,6.5,88117,136,130.7,False
Movie_58,Action,2012,5.5,93038,118,116.3,False
Movie_59,Action,2014,6.0,122410,133,133.5,False
Movie_60,Comedy,2014,5.9,119909,113,120.8,True
